gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3084,0
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2610,0
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1002,0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4062,1
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2635,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,5178,0
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,227,1
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,5397,0
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,1403,0
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1492,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1653,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,3858,0
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,5687,0
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2785,1
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3116,0
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3117,1
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,245,1
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,4067,0
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4161,0
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3615,0
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4148,0
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6546,0
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3391,0
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,6524,0
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,852,1
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,3642,0
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3668,0
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3328,0
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,832,1
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1318,0
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5156,1
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,3825,0
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1317,1
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5147,0
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,5598,0
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,6357,0
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,5980,0
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4028,0
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,4573,0
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2601,0
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6502,0
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6277,1
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2129,0
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3200,0
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2186,0
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,6442,0
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6333,0
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,4180,0
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,224,0
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,5606,0
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,828,0
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1338,0
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5052,0
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2382,0
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4114,0
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1785,0
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,440,0
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,6009,1
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,4719,0
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4242,1
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3725,0
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,6534,0
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6407,0
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1895,0
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,151,0
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,6425,0
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,62,0
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2272,0
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,5766,0
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,4760,0
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,5618,0
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,5794,0
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6427,1
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4061,0
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,295,1
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,246,0
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2218,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1653,0
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1526,0
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3165,0
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2673,0
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,5876,1
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,44,0
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,5715,0
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,6428,0
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3401,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,701,0
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4434,1
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2685,0
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3423,0
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2518,1
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3010,0
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,2171,0
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,283,0
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,167,1
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,6203,0
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1812,0
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,4624,0
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,273,0
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1974,1
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,3082,0
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5086,0
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,2675,0
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1798,1
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1271,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1532,0
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3446,0
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,437,0
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,955,1
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2880,0
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3075,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6101,1
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,391,0
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1347,0
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,553,0
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,362,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5553,1
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,5216,0
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4707,1
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4937,0
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,4462,0
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1321,0
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,5211,0
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,5026,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3864,1
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1571,0
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,184,0
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,4712,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5279,1
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,6031,0
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,4413,0
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,293,0
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,333,0
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1421,0
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3626,0
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,94,0
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,2209,0
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,5888,0
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1090,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,682,0
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3426,0
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,2009,0
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,702,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2416,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5114,0
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2343,1
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2833,0
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3107,0
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2109,1
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,382,0
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4282,1
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5273,0
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,5960,0
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,320,1
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4303,1
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1044,0
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,502,0
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2550,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,3859,0
1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5321,1
1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2147,0
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,259,1
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2087,1
1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,91,0
1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,6142,0
0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,2133,0
0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2058,0
1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,2800,0
1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,4483,1
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,721,0
0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,6119,0
1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,402,0
0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1545,0
1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,4865,0
1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,5261,0
1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,6081,0
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,1664,0
0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2376,0
0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,261,0
1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,5773,0
1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,115,0
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2595,0
0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2379,0
1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,3614,0
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,6017,1
0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1579,1
1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,5334,0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,6217,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,2195,0
1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,280,0
0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,4536,0
1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1623,0
0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,3019,0
1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,2770,0
1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3293,0
1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,4493,0
0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,5106,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2372,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1433,0
1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,1653,0
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,1369,1
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,1850,0
1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,568,0
0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2241,0
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,4603,1
1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2408,0
0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,3538,0
1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,4799,0
1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4058,0
1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,6218,1
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1059,0
0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,5572,0
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,312,1
0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,2626,0
1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,604,0
0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,274,1
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,2499,0
0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,5171,0
1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,5989,0
0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,2814,0
0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,5042,0
0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,5717,0
1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,2419,0
1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2230,0
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,189,1
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,4094,1
1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99.0,3696,0
0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,3964,0
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,907,1
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,3457,1
1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2323,0
1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,1572,0
0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,3537,0
0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,115.1,5567,0
1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,4818,0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,6064,1
0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,45.0,459,0
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,626,1
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,703,1
1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,4221,0
0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,985,0
0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,4306,0
0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,88.1,4632,0
1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,24.9,406,0
0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105.0,1676,0
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,239,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.25,1284,0
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,973,1
1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,59.75,3030,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,2087,1
1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,107.05,1833,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,5556,1
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,3465,1
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,4701,1
1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,64.95,658,0
